title,price,rating,availability,category
A Light in the Attic,51.77,3,22,Poetry
Tipping the Velvet,53.74,1,20,Historical Fiction
Soumission,50.1,1,20,Fiction
Sharp Objects,47.82,4,20,Mystery
Sapiens: A Brief History of Humankind,54.23,5,20,History
The Requiem Red,22.65,1,19,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,19,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,19,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,19,Default
The Black Maria,52.15,1,19,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,19,Default
Shakespeare's Sonnets,20.66,4,19,Poetry
Set Me Free,17.46,5,19,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,19,Sequential Art
Rip it Up and Start Again,35.02,5,19,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,19,Music
Olio,23.88,1,19,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,19,Science Fiction
Libertarianism for Beginners,51.33,2,19,Politics
It's Only the Himalayas,45.17,2,19,Travel
In Her Wake,12.84,1,19,Thriller
How Music Works,37.32,2,19,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,19,Food and Drink
Chase Me (Paris Nights #2),25.27,5,19,Romance
Black Dust,34.53,5,19,Romance
Birdsong: A Story in Pictures,54.64,3,19,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,19,Default
Aladdin and His Wonderful Lamp,53.13,3,19,Default
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,18,Nonfiction
Wall and Piece,44.18,4,18,Art
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,18,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,18,Nonfiction
The Elephant Tree,23.82,5,18,Thriller
The Bear and the Piano,36.89,1,18,Childrens
Sophie's World,15.94,5,18,Philosophy
Penny Maybe,33.29,3,18,Default
Maude (1883-1993):She Grew Up with the country,18.02,2,18,Default
"In a Dark, Dark Wood",19.63,1,18,Mystery
Behind Closed Doors,52.22,4,18,Thriller
You can't bury them all: Poems,33.63,2,17,Poetry
Slow States of Collapse: Poems,57.31,3,17,Poetry
Reasons to Stay Alive,26.41,2,17,Nonfiction
Private Paris (Private #10),47.61,5,17,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,17,Nonfiction
Without Borders (Wanderlove #1),45.07,2,16,New Adult
When We Collided,31.77,1,16,Contemporary
"We Love You, Charlie Freeman",50.27,5,16,Fiction
Untitled Collection: Sabbath Poems 2014,14.27,4,16,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,16,Nonfiction
Unicorn Tracks,18.78,3,16,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,16,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,16,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,16,Nonfiction
This One Summer,19.49,4,16,Sequential Art
Thirst,17.27,5,16,Fiction
The Torch Is Passed: A Harding Family Story,19.09,1,16,Add a comment
The Secret of Dreadwillow Carse,56.13,1,16,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,16,Food and Drink
The Past Never Ends,56.5,4,16,Mystery
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,16,Young Adult
The Nameless City (The Nameless City #1),38.16,4,16,Sequential Art
The Murder That Never Was (Forensic Instincts #5),54.11,3,16,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,16,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,16,Add a comment
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,16,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,16,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,16,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,16,Nonfiction
The Death of Humanity: and the Case for Life,58.11,4,16,Philosophy
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,16,Health
The Art Forger,40.76,3,16,Add a comment
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,16,History
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,16,Spirituality
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,16,Nonfiction
Soul Reader,39.58,2,16,Default
Security,39.25,2,16,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,16,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,16,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,16,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,16,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,16,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,16,Fantasy
"Pop Gun War, Volume 1: Gift",18.97,1,16,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,16,History
Patience,10.16,3,16,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,16,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,16,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,16,Self Help
On a Midnight Clear,14.07,3,16,Add a comment
Obsidian (Lux #1),14.86,2,16,Young Adult
My Paris Kitchen: Recipes and Stories,33.37,2,16,Food and Drink
Masks and Shadows,56.4,2,16,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,16,Food and Drink
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,16,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,16,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,16,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,16,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,16,Add a comment
Join,35.67,5,16,Science Fiction
In the Country We Love: My Family Divided,22.0,4,16,Nonfiction
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,16,Science
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,16,Sequential Art
I am a Hero Omnibus Volume 1,54.63,3,16,Sequential Art
How to Be Miserable: 40 Strategies You Already Use,46.03,1,16,Self Help
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,16,Romance
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,16,Sequential Art
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,16,Historical Fiction
First and First (Five Boroughs #3),15.97,4,16,Romance
Fifty Shades Darker (Fifty Shades #2),21.96,1,16,Romance
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,16,Nonfiction
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,16,Religion
Danganronpa Volume 1,51.99,4,16,Sequential Art
Crown of Midnight (Throne of Glass #2),43.29,3,16,Fantasy
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,16,Sequential Art
Camp Midnight,17.08,4,16,Sequential Art
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,16,Nonfiction
Burning,28.81,3,16,Young Adult
Bossypants,49.46,2,16,Default
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,16,Sequential Art
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,16,Fantasy
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,16,Nonfiction
A World of Flavor: Your Gluten Free Passport,42.95,1,16,Default
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,16,Default
A Murder in Time,16.64,1,16,Mystery
A Flight of Arrows (The Pathfinders #2),55.53,5,16,Historical Fiction
A Fierce and Subtle Poison,28.13,4,16,Young Adult
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,16,Fantasy
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,16,Christian
You Are What You Love: The Spiritual Power of Habit,21.87,4,15,Religion
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,15,Science Fiction
Tuesday Nights in 1980,21.04,2,15,Fiction
Tracing Numbers on a Train,41.6,3,15,Default
Throne of Glass (Throne of Glass #1),35.07,3,15,Fantasy
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,15,History
Thirteen Reasons Why,52.72,1,15,Default
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4,15,Childrens
The Wedding Dress,24.12,1,15,Romance
The Vacationers,42.15,4,15,Fiction
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,5,15,Business
The Stranger,17.44,4,15,Philosophy
The Shadow Hero (The Shadow Hero),33.14,1,15,Sequential Art
The Secret (The Secret #1),27.37,4,15,Default
The Regional Office Is Under Attack!,51.36,5,15,Fiction
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,15,Default
The Project,10.65,1,15,Science Fiction
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,15,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,15,Nonfiction
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,15,Food and Drink
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,15,Mystery
The Mistake (Off-Campus #2),43.29,3,15,New Adult
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,15,New Adult
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,15,Food and Drink
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,15,Crime
The Kite Runner,41.82,4,15,Default
The House by the Lake,36.95,1,15,Historical Fiction
The Glittering Court (The Glittering Court #1),44.28,1,15,Fantasy
The Girl on the Train,55.02,2,15,Default
The Genius of Birds,17.24,1,15,Nonfiction
The Emerald Mystery,23.15,2,15,Default
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,15,Food and Drink
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,15,Default
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,15,Nonfiction
The Art of War,33.34,5,15,Default
The Argonauts,10.93,2,15,Autobiography
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,15,Business
Suddenly in Love (Lake Haven #1),55.99,2,15,Romance
Something More Than This,16.24,4,15,Romance
Soft Apocalypse,26.12,2,15,Science Fiction
So You've Been Publicly Shamed,12.23,2,15,Nonfiction
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,15,Business
"Shobu Samurai, Project Aryoku (#3)",29.06,3,15,Add a comment
Secrets and Lace (Fatal Hearts #1),20.27,1,15,Default
Scarlett Epstein Hates It Here,43.55,5,15,Young Adult
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,15,Default
Redeeming Love,20.47,5,15,Christian Fiction
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,15,Default
Poems That Make Grown Women Cry,14.19,4,15,Poetry
"Nightingale, Sing",38.28,1,15,Young Adult
Night Sky with Exit Wounds,41.05,1,15,Poetry
Mrs. Houdini,30.25,5,15,Historical Fiction
Modern Romance,28.26,5,15,Add a comment
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,1,15,Default
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,15,Biography
Little Red,13.47,3,15,Childrens
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,5,15,Young Adult
Large Print Heart of the Pride,19.15,2,15,Default
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,15,Womens Fiction
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,1,15,Fantasy
Grumbles,22.16,2,15,Default
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,15,Travel
Frostbite (Vampire Academy #2),29.99,5,15,Young Adult
Follow You Home,21.36,1,15,Horror
First Steps for New Christians (Print Edition),29.0,1,15,Default
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,15,Fiction
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,15,Sequential Art
Eureka Trivia 6.0,54.59,4,15,Default
Drive: The Surprising Truth About What Motivates Us,34.95,4,15,Default
Done Rubbed Out (Reightman & Bailey #1),37.72,5,15,Default
Doing It Over (Most Likely To #1),35.61,3,15,Romance
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,15,Food and Drink
Dark Notes,19.19,5,15,Erotica
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,15,Nonfiction
Close to You,49.46,4,15,Christian Fiction
Chasing Heaven: What Dying Taught Me About Living,37.8,2,15,Spirituality
Big Magic: Creative Living Beyond Fear,30.8,3,15,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,15,Nonfiction
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2,15,Default
Batman: The Long Halloween (Batman),36.5,2,15,Sequential Art
Batman: The Dark Knight Returns (Batman),15.38,5,15,Sequential Art
Ayumi's Violin,15.48,2,15,Default
Anonymous,46.82,4,15,Default
Amy Meets the Saints and Sages,18.46,3,15,Default
Amid the Chaos,36.58,1,15,Cultural
Amatus,50.54,5,15,Default
Agnostic: A Spirited Manifesto,12.51,5,15,Nonfiction
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,14,History
You (You #1),43.61,5,14,Thriller
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,14,Sequential Art
Wild Swans,14.36,2,14,Young Adult
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,14,Politics
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,14,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,14,Nonfiction
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,14,Sequential Art
Walt Disney's Alice in Wonderland,12.96,5,14,Childrens
V for Vendetta (V for Vendetta Complete),37.1,4,14,Default
Until Friday Night (The Field Party #1),46.31,2,14,Young Adult
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,14,Default
Twenty Yawns,22.08,2,14,Childrens
Through the Woods,25.38,2,14,Sequential Art
This Is Where It Ends,27.12,2,14,Young Adult
